County,FIPS code,County seat,Established,Origin,Etymology,Area Miles
Dakota County,37,Hastings,1849,One of nine original counties.,"From the Dakota language, after a local tribeDakota, meaning ""Allies""",569.58
Dodge County,39,Mantorville,1855,"Rice County, Unorganized Territory","Henry Dodge (1782-1867), twice governor of Wisconsin.[9]",439.5
Douglas County,41,Alexandria,1858,"Cass County,Pembina County","Stephen Arnold Douglas (1813-1861), former United States Senator from Illinois (1847-1861)",634.32
Faribault County,43,Blue Earth,1855,Blue Earth County,"Jean-Baptiste Faribault (1775-1860), early settler and fur trader",713.63
Fillmore County,45,Preston,1853,Wabasha County,"Millard Fillmore (1800-1874), thirteenth president of the United States (1850-1853)",861.25
Freeborn County,47,Albert Lea,1855,"Blue Earth County,Rice County","William S. Freeborn (1816-1900), member of the Territorial Legislature",707.64
Goodhue County,49,Red Wing,1853,"Wabasha County,Dakota County","James Madison Goodhue, the first newspaper editor in Minnesota.[10]",758.27
Grant County,51,Elbow Lake,1868,"Stevens County,Wilkin County,Traverse County","Ulysses S. Grant (1822-1885), eighteenth president of the United States (1869-1877)",546.41
Hennepin County,53,Minneapolis,1852,Dakota County,"Father Louis Hennepin (1626-1705), early explorer of the Twin Cities area in the 17th Century",556.62
Houston County,55,Caledonia,1854,Fillmore County,"Sam Houston (1793-1863), the second and fourth president of the Republic of Texas and seventh governor of Texas",558.41
Hubbard County,57,Park Rapids,1883,Cass County,"Lucius Frederick Hubbard (1836-1913), ninth governor of Minnesota (1882-1887)",922.46
Isanti County,59,Cambridge,1857,Ramsey County,"A division of the Dakotas called the Izatys, meaning [those that] dwell at Knife Lake, after where they resided.",439.07
Itasca County,61,Grand Rapids,1849,"One of nine original counties; formed from residual La Pointe County, Wisconsin Territory.","Lake Itasca, source of the Mississippi River(located in northwestern Minnesota).","2,665.06"
Jackson County,63,Jackson,1857,Brown County,"Henry Jackson, member of the first territoriallegislature and the first merchant in St. Paul",701.69
Kanabec County,65,Mora,1858,Pine County,"From the Ojibwe language Kan-a-bec-o-si-pi (Ginebigo-ziibi), meaning Snake River, which flows through the county",524.93
Kandiyohi County,67,Willmar,1858,"Meeker County,Renville County,Pierce County, Davis County, Stearns County","From the Sioux language for ""buffalo fish""",796.06
Kittson County,69,Hallock,1879,Pembina County,"Norman Kittson (1814-1888), businessman and mayor of Saint Paul (1858-1859)","1,097.08"
Koochiching County,71,International Falls,1906,Itasca County,"From the Ojibwe language Goojijiing (Place of inlets), which was the Cree name for Rainy Lake and Rainy River.","3,102.36"
Lac qui Parle County,73,Madison,1863,Redwood County,"A French phrase meaning ""lake which talks"".",764.87
Lake County,75,Two Harbors,1856,Itasca County,"Lake Superior, which forms one of its edges","2,099.16"
Lake of the Woods County,77,Baudette,1923,Beltrami County,"Lake of the Woods, a lake located within the county.","1,296.70"
Le Sueur County,79,Le Center,1853,Dakota County,"Pierre-Charles Le Sueur (1657-1704), fur trader and early explorer of the Minnesota River Valley",448.5
Lincoln County,81,Ivanhoe,1873,Lyon County,"Abraham Lincoln (1809-1865), sixteenth president of the United States (1861-1865)",537.03
Lyon County,83,Marshall,1871,Redwood County,"Nathaniel Lyon (1818-1861), United States Army general during the Civil War",714.17
McLeod County,85,Glencoe,1856,"Carver County,Sibley County",Martin McLeod early pioneer and member of the territorial legislature (1849-1856),491.91
Mahnomen County,87,Mahnomen,1906,Norman County,"An Ojibwa word meaning ""wild rice"".",556.14
Marshall County,89,Warren,1879,Kittson County,"William Rainey Marshall (1825-1896), fifth governor of Minnesota (1866-1870)","1,772.24"
Martin County,91,Fairmont,1857,"Faribault County,Brown County","Morgan Lewis Martin (1805-1887), delegate to Congress from Wisconsin Territory",709.34
Meeker County,93,Litchfield,1856,Davis County,"Bradley B. Meeker (1813-1873), Associate Justice of the Minnesota Territorial Supreme Court (1849-1853)",608.54
Mille Lacs County,95,Milaca,1857,Ramsey County,"Mille Lacs Lake, a lake located within the county.",574.47
Morrison County,97,Little Falls,1856,Benton County,"William & Allan Morrison, fur trading brothers[11]","1,124.50"
Mower County,99,Austin,1855,Rice County,"John Edward Mower (1815-1879), member of the Minnesota territorial legislature in the 1850s",711.5
Murray County,101,Slayton,1857,Brown County,"William Pitt Murray (1825-1910), Minnesota statesman and member of the territorial legislature (1852-1855) and 1857",704.43
Nicollet County,103,St. Peter,1853,Dakota County,"Joseph Nicolas Nicollet (1786-1843), early explore and cartographer of the Upper Mississippi River",452.29
Nobles County,105,Worthington,1857,Brown County,"William H. Nobles, member of the Minnesota territorial legislature in 1854 and 1856",715.39
Norman County,107,Ada,1881,Polk County,"The early Norwegian, also known as Norman, settlers.",876.27
Olmsted County,109,Rochester,1855,"Fillmore County,Wabasha County,Rice County","David Olmsted, first mayor of Saint Paul and member of territorial legislature (1849-1850)",653.01
Otter Tail County,111,Fergus Falls,1858,"Pembina County,Cass County","Otter Tail Lake, a lake located within the county","1,979.71"
Pennington County,113,Thief River Falls,1910,Red Lake County,"Edmund Pennington (b. 1848), executive of theMinneapolis, St. Paul and Sault Ste. Marie Railroad",616.54
Pine County,115,Pine City,1856,"Chisago County,Ramsey County",The giant forests of Eastern White Pine andRed Pine that flourish in the county,"1,411.04"
Pipestone County,117,Pipestone,1857,Brown County,Name of a sacred Dakota quarry of red pipestone found in the county,465.89
Polk County,119,Crookston,1858,Pembina County,"James K. Polk (1795-1849), eleventh president of the United States (1845-1849)","1,970.37"
Pope County,121,Glenwood,1862,"Pierce County, Cass County, Unorganized Territory","John Pope (1822-1892), United States Army general during the Dakota War of 1862",670.14
Ramsey County,123,Saint Paul,1849,"One of nine original counties; formed from residual St. Croix County, Wisconsin Territory.","Alexander Ramsey (1815-1903), second governor of Minnesota (1860-1863)",155.78
Red Lake County,125,Red Lake Falls,1896,Polk County,"Red Lake River, a river that flows through Minnesota.",432.43
Redwood County,127,Redwood Falls,1862,Brown County,"Redwood River, a river that flows through Minnesota.",879.73
Renville County,129,Olivia,1855,"Nicollet County,Pierce County, Sibley County","Joseph Renville (1779-1846), interpreter for early explorations of the Louisiana Purchase",982.92
Rice County,131,Faribault,1853,"Dakota County,Wabasha County","Henry Mower Rice (1816-1894), former United States Senator from Minnesota (1858-1863)",497.57
Rock County,133,Luverne,1857,Brown County,"A large rocky plateau located within the county, known as ""the mound.""",482.61
Roseau County,135,Roseau,1894,"Kittson County,Beltrami County","Roseau River and Roseau Lake, both of which are located nearby","1,662.51"
Scott County,137,Shakopee,1853,Dakota County,"Winfield Scott (1786-1866), United States Army general who served from (1808-1861)",356.68
Sherburne County,139,Elk River,1856,Benton County,"Moses Sherburne (1813-1873), Associate Justice of the Minnesota Territorial Supreme Court (1853-1857)",436.3
Sibley County,141,Gaylord,1853,Dakota County,"Henry Hastings Sibley (1811-1891), first governor of Minnesota (1858-1860)",588.65
St. Louis County,143,Duluth,1855,"Itasca County, Newton","St. Louis River, a river that flows through Minnesota","6,225.16"
Stearns County,145,St. Cloud,1855,"Cass County, Nicollet County, Pierce County, Sibley County","Charles Thomas Stearns (1814-1888), early settler of St. Cloud and member of the Minnesota territorial legislature (1849-1858)","1,344.52"
Steele County,147,Owatonna,1855,"Rice County, Blue Earth County, Le Sueur County","Franklin Steele (1813-1880), early settler of Minneapolis and developer of Saint Anthony Falls",429.55
Stevens County,149,Morris,1862,"Pierce County, Unorganized Territory","Isaac Ingalls Stevens (1818-1862), first governor of Washington Territory (1853-1857)",562.06
Swift County,151,Benson,1870,Chippewa County,"Henry Adoniram Swift (1823-1869), third governor of Minnesota (1863-1864)",743.53
Todd County,153,Long Prairie,1855,Cass County,"John Blair Smith Todd, commander of Fort Ripley (1849-56); general in the Civil War; delegate in Congress from Dakota Territory(1861 and 1863-65); governor of Dakota Territory (1869-71)",942.02
Traverse County,155,Wheaton,1862,"Pierce County, Unorganized Territory","Lake Traverse, a lake located in the county.",574.09
Wabasha County,157,Wabasha,1849,One of nine original counties.,Named after M'dewakanton Dakota Indian Chief Wabasha III,525.01
Wadena County,159,Wadena,1858,"Cass County, Todd County","Wadena Trading Post, in turn for a Ojibway word meaning ""a little round hill"".",535.02
Waseca County,161,Waseca,1857,Steele County,"A Dakota word meaning ""rich and fertile""",423.25
Washington County,163,Stillwater,1849,"One of nine original counties; formed from residual St. Croix County, Wisconsin Territory.","George Washington (1732-1799), first president of the United States (1789-1797)",391.7
Watonwan County,165,St. James,1860,Brown County,"Watonwan River, a river that flows through Minnesota.",434.51
Wilkin County,167,Breckenridge,1858,"Cass County,Pembina County","Alexander Wilkin (1820-1864), Minnesota politician and soldier killed in the Civil War",751.43
Winona County,169,Winona,1854,"Fillmore County,Wabasha County","Named after Wee-No-Nah, Sister or Cousin of Chief Wabasha III",626.3
Wright County,171,Buffalo,1855,"Cass County, Sibley County","Silas Wright (1795-1847), former United States Senator from New York (1833-1844)",660.75
Yellow Medicine County,173,Granite Falls,1871,Redwood County,"Yellow Medicine River, a river that flows through Minnesota.",757.96
